,fighter,final_elo
0,Gerard Gordeau,1516.0338330211207
1,Teila Tuli,1484.0
2,Royce Gracie,1621.3460613345958
3,Jason DeLucia,1501.6274615581415
4,Trent Jenkins,1468.739487472835
5,Ken Shamrock,1523.7721194800467
6,Kevin Rosier,1483.265326376404
7,Zane Frazier,1467.9645412643724
8,Patrick Smith,1535.0143962598768
9,Art Jimmerson,1485.4679565897213
10,Remco Pardoel,1518.891117487435
11,Johnny Rhodes,1515.4555374326426
12,Orlando Wiet,1500.153079518561
13,Fred Ettish,1483.2007477998236
14,Scott Morris,1500.1894475215065
15,Minoki Ichihara,1487.8946393242716
16,Scott Baker,1484.1196026571745
17,Alberta Cerra Leon,1484.1533594530981
18,Robert Lucarelli,1483.235602915442
19,Frank Hamaker,1516.0
20,Thaddeus Luster,1484.0
21,David Levicki,1483.9737161812316
22,Ray Wizard,1484.1897715764983
23,Sean Daugherty,1483.2373543844374
24,Steve Jennum,1513.9280042813036
25,Harold Howard,1483.9324157594533
26,Felix Lee Mitchell,1454.3786408153537
27,Christophe Leninger,1471.5826305858245
28,Roland Payne,1483.263693206478
29,Keith Hackney,1504.8865111972111
30,Emmanuel Yarborough,1484.0
31,Kimo Leopoldo,1481.415359354648
32,Dan Severn,1570.534342585599
33,Marcus Bossett,1484.2139348653652
34,Melton Bowen,1484.736306793522
35,Anthony Macias,1487.1680972835238
36,Ron van Clief,1489.8180612118472
37,Guy Mezger,1541.2901844968994
38,Jason Fairn,1484.0
39,Eldo Xavier Dias,1483.2402179528988
40,Joe Charles,1502.8254796918031
41,Joe Son,1484.2163034005334
42,Oleg Taktarov,1562.9319502081019
43,Dave Beneteau,1505.473879455884
44,Todd Medina,1500.1066559385263
45,John Dowdy,1484.736306793522
46,Ernie Verdicia,1483.308432869138
47,Larry Cureton,1469.4712002011793
48,Jon Hess,1516.0
49,Andy Anderson,1484.0
50,Asbel Cancio,1484.1068671513935
51,David Abbott,1469.0203033092344
52,Paul Varelans,1501.3352141565015
53,Rudyard Moncayo,1484.916862840055
54,Cal Worsham,1484.2844196615065
55,John Matua,1484.0372769141597
56,He-Man Gipson,1482.6118124694822
57,Joel Sutton,1531.263693206478
58,Jack McGlaughlin,1484.0
59,Marco Ruas,1527.002621810817
60,Mark Hall,1517.594312397004
61,Geza Kalman,1501.4387739660467
62,Gerry Harris,1484.0354670340018
63,Scott Bessac,1499.3349873875002
64,David Hood,1484.0
65,Onassis Parungao,1516.0
66,Francesco Maturi,1484.0
67,Ryan Parker,1484.13956452461
68,Sam Adkins,1498.6514159415349
69,Keith Mielke,1484.0
70,Don Frye,1609.070715108028
71,Thomas Ramirez,1484.0
72,Joe Moreira,1500.890475557234
73,Jerry Bohlander,1541.7312215953723
74,Scott Ferrozzo,1516.7131510665172
75,Gary Goodridge,1504.9998039019024
76,Paul Herrera,1484.0
77,Amaury Bitetti,1502.8318638301305
78,Koji Kitao,1484.705502268534
79,Mark Schultz,1516.736306793522
80,Rafael Carino,1516.0
81,Matt Andersen,1484.0
82,Steve Nelmark,1515.5244752152241
83,Tai Bowden,1500.736306793522
84,Dieusel Berto,1483.2975328274754
85,Brian Johnston,1475.9912201157222
86,Scott Fiedler,1484.0
87,Mark Coleman,1521.6046350096049
88,Moti Horenstein,1468.736306793522
89,John Campetella,1483.9660918698307
90,Fabio Gurgel,1484.0
91,Roberto Traven,1499.263693206478
92,Dave Berry,1484.0
93,Reza Nasri,1483.4909378421419
94,Julian Sanchez,1486.932622143037
95,Sam Fulton,1468.8079397887134
96,Jack Nilson,1500.0338330211207
97,Vitor Belfort,1574.30310214934
98,Nick Sanzo,1501.4387739660467
99,Tra Telligman,1458.871462427371
100,Jackie Lee,1483.2975328274754
101,Yoshiki Takahashi,1516.0
102,Wallid Ismail,1484.0
103,Rainy Martinez,1485.4358728782763
104,Justin Martin,1516.0
105,Eric Martin,1484.0
106,Jim Mullen,1484.0344271982347
107,Tito Ortiz,1538.5142904107054
108,Randy Couture,1599.4691319107587
109,Steven Graham,1500.736306793522
110,Tony Halme,1484.736306793522
111,Wes Albritton,1483.3296897362338
112,Enson Inoue,1516.0
113,Royce Alger,1468.736306793522
114,Saeed Hosseini,1483.2298601853572
115,Dmitri Stepanov,1483.263693206478
116,Tony Fryklund,1499.3581988720266
117,Donnie Chappell,1484.0
118,Alex Hunter,1530.5645178732748
119,Yuri Vaulin,1483.2711193243924
120,Kevin Jackson,1499.9679075202312
121,Todd Butler,1484.0
122,Mark Kerr,1559.7442018127824
123,Dan Bobish,1499.597349110267
124,Maurice Smith,1519.0398763747282
125,Dwayne Cason,1502.1068851034001
126,Greg Stott,1486.0989899091346
127,Houston Dorr,1483.3297235609668
128,Harry Moskowitz,1469.406641009231
129,Carlos Barreto,1483.492032223764
130,Brad Kohler,1500.0677454683114
131,Yoji Anjo,1454.3484386698044
132,Kazushi Sakuraba,1516.0
133,Marcus Silveira,1484.0
134,Frank Shamrock,1575.972899890274
135,Tsuyoshi Kohsaka,1500.122756293903
136,Igor Zinoviev,1484.8038229802178
137,Pat Miletich,1575.5531181486315
138,Chris Brennan,1483.9985843298684
139,Townsend Saunders,1469.4710585082066
140,Mikey Burnett,1515.96771545784
141,Eugenio Tadeu,1484.0
142,Courtney Turner,1483.263693206478
143,Laverne Clark,1539.6913918787595
144,Josh Stuart,1484.0
145,Chuck Liddell,1588.6571772367215
146,Noe Hernandez,1484.0
147,Andre Roberts,1514.8561681416804
148,Dan Henderson,1524.4478652178013
149,Allan Goes,1484.0
150,Carlos Newton,1490.8390262714493
151,Bob Gilstrap,1484.0
152,Mike van Arsdale,1502.6120104537943
153,Joe Pardo,1484.0
154,Hugo Duarte,1484.9204969288758
155,Pete Williams,1470.1418688512817
156,Jeremy Horn,1491.1925573902427
157,John Lober,1486.1588192089037
158,Wanderlei Silva,1503.598132642559
159,Pedro Rizzo,1556.2497627869143
160,Ebenezer Fontes Braga,1515.3326328283995
161,Tulio Palhares,1516.0
