,event,date,fighter_1,fighter_2,result,method,round,time
0,UFC 308: Topuria vs. Holloway,2024-10-26,Ilia Topuria,Max Holloway,win,KO/TKO,3,1:34
1,UFC 308: Topuria vs. Holloway,2024-10-26,Khamzat Chimaev,Robert Whittaker,win,SUB,1,3:34
2,UFC 308: Topuria vs. Holloway,2024-10-26,Magomed Ankalaev,Aleksandar Rakic,win,U-DEC,3,5:00
3,UFC 308: Topuria vs. Holloway,2024-10-26,Lerone Murphy,Dan Ige,win,U-DEC,3,5:00
4,UFC 308: Topuria vs. Holloway,2024-10-26,Shara Magomedov,Armen Petrosyan,win,KO/TKO,2,4:52
5,UFC 308: Topuria vs. Holloway,2024-10-26,Ibo Aslan,Rafael Cerqueira,win,KO/TKO,1,0:51
6,UFC 308: Topuria vs. Holloway,2024-10-26,Geoff Neal,Rafael Dos Anjos,win,KO/TKO,1,1:30
7,UFC 308: Topuria vs. Holloway,2024-10-26,Mateusz Rebecki,Myktybek Orolbai,win,S-DEC,3,5:00
8,UFC 308: Topuria vs. Holloway,2024-10-26,Abus Magomedov,Brunno Ferreira,win,SUB,3,3:14
9,UFC 308: Topuria vs. Holloway,2024-10-26,Kennedy Nzechukwu,Chris Barnett,win,KO/TKO,1,4:27
10,UFC 308: Topuria vs. Holloway,2024-10-26,Farid Basharat,Victor Hugo,win,U-DEC,3,5:00
11,UFC 308: Topuria vs. Holloway,2024-10-26,Ismail Naurdiev,Bruno Silva,win,U-DEC,3,5:00
12,UFC 308: Topuria vs. Holloway,2024-10-26,Rinat Fakhretdinov,Carlos Leal,win,U-DEC,3,5:00
13,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Anthony Hernandez,Michel Pereira,win,KO/TKO,5,2:22
14,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Rob Font,Kyler Phillips,win,U-DEC,3,5:00
15,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Charles Johnson,Sumudaerji,win,U-DEC,3,5:00
16,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Cameron Smotherman,Jake Hadley,win,U-DEC,3,5:00
17,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Darren Elkins,Daniel Pineda,win,U-DEC,3,5:00
18,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Asu Almabayev,Matheus Nicolau,win,U-DEC,3,5:00
19,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Jean Matsumoto,Brad Katona,win,U-DEC,3,5:00
20,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Joselyne Edwards,Tamires Vidal,win,SUB,3,4:33
21,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Elise Reed,Jessica Penne,win,U-DEC,3,5:00
22,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Melissa Martinez,Alice Ardelean,win,U-DEC,3,5:00
23,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Austen Lane,Robelis Despaigne,win,U-DEC,3,5:00
24,UFC Fight Night: Royval vs. Taira,2024-10-12,Brandon Royval,Tatsuro Taira,win,S-DEC,5,5:00
25,UFC Fight Night: Royval vs. Taira,2024-10-12,JunYong Park,Brad Tavares,win,S-DEC,3,5:00
26,UFC Fight Night: Royval vs. Taira,2024-10-12,Chidi Njokuani,Jared Gooden,win,U-DEC,3,5:00
27,UFC Fight Night: Royval vs. Taira,2024-10-12,Grant Dawson,Rafa Garcia,win,KO/TKO,2,1:42
28,UFC Fight Night: Royval vs. Taira,2024-10-12,Daniel Rodriguez,Alex Morono,win,S-DEC,3,5:00
29,UFC Fight Night: Royval vs. Taira,2024-10-12,Ramazan Temirov,CJ Vergara,win,KO/TKO,1,2:50
30,UFC Fight Night: Royval vs. Taira,2024-10-12,Pat Sabatini,Jonathan Pearce,win,SUB,1,4:06
31,UFC Fight Night: Royval vs. Taira,2024-10-12,Themba Gorimbo,Niko Price,win,U-DEC,3,5:00
32,UFC Fight Night: Royval vs. Taira,2024-10-12,Junior Tafa,Sean Sharaf,win,KO/TKO,2,2:15
33,UFC Fight Night: Royval vs. Taira,2024-10-12,Julia Polastri,Cory McKenna,win,S-DEC,3,5:00
34,UFC Fight Night: Royval vs. Taira,2024-10-12,Cody Haddon,Dan Argueta,win,U-DEC,3,5:00
35,UFC Fight Night: Royval vs. Taira,2024-10-12,Clayton Carpenter,Lucas Rocha,win,SUB,2,2:12
36,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Alex Pereira,Khalil Rountree Jr.,win,KO/TKO,4,4:32
37,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Julianna Pena,Raquel Pennington,win,S-DEC,5,5:00
38,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Mario Bautista,Jose Aldo,win,S-DEC,3,5:00
39,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Roman Dolidze,Kevin Holland,win,KO/TKO,1,5:00
40,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Kayla Harrison,Ketlen Vieira,win,U-DEC,3,5:00
41,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Joaquin Buckley,Stephen Thompson,win,KO/TKO,3,2:17
42,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Iasmin Lucindo,Marina Rodriguez,win,S-DEC,3,5:00
43,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Alexander Hernandez,Austin Hubbard,win,S-DEC,3,5:00
