event,date,fighter_1,fighter_1_elo_before,fighter_1_elo_after,method,round,fighter_2,fighter_2_elo_before,fighter_2_elo_after
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1500.0,1520.0,KO/TKO,1,Teila Tuli,1500.0,1480.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1500.0,1521.1500225556908,SUB,1,Gerard Gordeau,1520.0,1498.8499774443092
UFC 1: The Beginning,1993-11-12,Jason DeLucia,1500.0,1520.0,SUB,1,Trent Jenkins,1500.0,1480.0
UFC 1: The Beginning,1993-11-12,Royce Gracie,1521.1500225556908,1539.934031061379,SUB,1,Ken Shamrock,1500.0,1481.2159914943118
UFC 1: The Beginning,1993-11-12,Kevin Rosier,1500.0,1520.0,KO/TKO,1,Zane Frazier,1500.0,1480.0
UFC 1: The Beginning,1993-11-12,Ken Shamrock,1481.2159914943118,1502.2962336348085,SUB,1,Patrick Smith,1500.0,1478.9197578595033
UFC 1: The Beginning,1993-11-12,Royce Gracie,1539.934031061379,1557.6453133766415,SUB,1,Art Jimmerson,1500.0,1482.2887176847375
UFC 1: The Beginning,1993-11-12,Gerard Gordeau,1498.8499774443092,1520.065968938621,KO/TKO,1,Kevin Rosier,1520.0,1498.7840085056882
UFC 2: No Way Out,1994-03-11,Royce Gracie,1557.6453133766415,1573.189504837435,KO/TKO,1,Patrick Smith,1478.9197578595033,1463.37556639871
UFC 2: No Way Out,1994-03-11,Royce Gracie,1573.189504837435,1589.03761225943,SUB,1,Remco Pardoel,1500.0,1484.151892578005
UFC 2: No Way Out,1994-03-11,Patrick Smith,1463.37556639871,1485.4760637672366,SUB,1,Johnny Rhodes,1500.0,1477.8995026314733
UFC 2: No Way Out,1994-03-11,Royce Gracie,1589.03761225943,1605.1149797363694,SUB,1,Jason DeLucia,1520.0,1503.9226325230607
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1484.151892578005,1505.0635507722438,KO/TKO,1,Orlando Wiet,1500.0,1479.088341805761
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1477.8995026314733,1499.1699963987905,SUB,1,Fred Ettish,1500.0,1478.7295062326828
UFC 2: No Way Out,1994-03-11,Patrick Smith,1485.4760637672366,1506.311642072863,KO/TKO,1,Scott Morris,1500.0,1479.1644216943737
UFC 2: No Way Out,1994-03-11,Royce Gracie,1605.1149797363694,1619.2421773899864,SUB,1,Minoki Ichihara,1500.0,1485.872802346383
UFC 2: No Way Out,1994-03-11,Jason DeLucia,1503.9226325230607,1523.6968372376691,SUB,1,Scott Baker,1500.0,1480.2257952853915
UFC 2: No Way Out,1994-03-11,Remco Pardoel,1505.0635507722438,1524.7720899945734,SUB,1,Alberta Cerra Leon,1500.0,1480.2914607776704
UFC 2: No Way Out,1994-03-11,Orlando Wiet,1479.088341805761,1500.290662098524,KO/TKO,1,Robert Lucarelli,1500.0,1478.797679707237
UFC 2: No Way Out,1994-03-11,Frank Hamaker,1500.0,1520.0,SUB,1,Thaddeus Luster,1500.0,1480.0
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,1499.1699963987905,1519.2177751558806,KO/TKO,1,David Levicki,1500.0,1479.95222124291
UFC 2: No Way Out,1994-03-11,Patrick Smith,1506.311642072863,1525.948354711903,SUB,1,Ray Wizard,1500.0,1480.36328736096
UFC 2: No Way Out,1994-03-11,Scott Morris,1479.1644216943737,1500.3623782465945,SUB,1,Sean Daugherty,1500.0,1478.8020434477792
UFC 3: The American Dream,1994-09-09,Steve Jennum,1500.0,1520.0,KO/TKO,1,Harold Howard,1500.0,1480.0
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1502.2962336348085,1522.164053725908,SUB,1,Felix Lee Mitchell,1500.0,1480.1321799089005
UFC 3: The American Dream,1994-09-09,Ken Shamrock,1522.164053725908,1540.889916166803,KO/TKO,1,Christophe Leninger,1500.0,1481.274137559105
UFC 3: The American Dream,1994-09-09,Harold Howard,1480.0,1501.1500225556908,KO/TKO,1,Roland Payne,1500.0,1478.8499774443092
UFC 3: The American Dream,1994-09-09,Keith Hackney,1500.0,1520.0,KO/TKO,1,Emmanuel Yarborough,1500.0,1480.0
UFC 3: The American Dream,1994-09-09,Royce Gracie,1619.2421773899864,1632.6354357999617,SUB,1,Kimo Leopoldo,1500.0,1486.6067415900247
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1632.6354357999617,1645.3508153307043,SUB,1,Dan Severn,1500.0,1487.2846204692573
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1487.2846204692573,1508.0162499344112,SUB,1,Marcus Bossett,1500.0,1479.268370534846
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1645.3508153307043,1658.4326451707514,SUB,1,Keith Hackney,1520.0,1506.918170159953
UFC 4: Revenge of the Warriors,1994-12-16,Steve Jennum,1520.0,1538.8499774443092,SUB,1,Melton Bowen,1500.0,1481.1500225556908
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,1508.0162499344112,1527.5548793610642,SUB,1,Anthony Macias,1500.0,1480.461370573347
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,1658.4326451707514,1669.8961801515386,SUB,1,Ron van Clief,1500.0,1488.5364650192128
UFC 4: Revenge of the Warriors,1994-12-16,Guy Mezger,1500.0,1520.0,KO/TKO,1,Jason Fairn,1500.0,1480.0
UFC 4: Revenge of the Warriors,1994-12-16,Marcus Bossett,1479.268370534846,1500.4603646724229,KO/TKO,1,Eldo Xavier Dias,1500.0,1478.8080058624232
UFC 4: Revenge of the Warriors,1994-12-16,Joe Charles,1500.0,1519.9300021886083,SUB,1,Kevin Rosier,1498.7840085056882,1478.85400631708
UFC 4: Revenge of the Warriors,1994-12-16,Keith Hackney,1506.918170159953,1526.5199808977538,SUB,1,Joe Son,1500.0,1480.3981892621991
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1527.5548793610642,1545.972010340642,KO/TKO,1,Oleg Taktarov,1500.0,1481.582869020422
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1545.972010340642,1563.3409855321615,SUB,1,Dave Beneteau,1500.0,1482.6310248084806
UFC 5: The Return of the Beast,1995-04-07,Ken Shamrock,1540.889916166803,1547.9926544785203,Other,2,Royce Gracie,1669.8961801515386,1662.7934418398213
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1482.6310248084806,1503.6300312943563,KO/TKO,1,Todd Medina,1500.0,1479.0009935141243
UFC 5: The Return of the Beast,1995-04-07,Guy Mezger,1520.0,1538.8499774443092,KO/TKO,1,John Dowdy,1500.0,1481.1500225556908
UFC 5: The Return of the Beast,1995-04-07,Oleg Taktarov,1481.582869020422,1502.642052410717,SUB,1,Ernie Verdicia,1500.0,1478.940816609705
UFC 5: The Return of the Beast,1995-04-07,Todd Medina,1479.0009935141243,1500.2083237314314,SUB,1,Larry Cureton,1500.0,1478.7926697826929
UFC 5: The Return of the Beast,1995-04-07,Jon Hess,1500.0,1520.0,KO/TKO,1,Andy Anderson,1500.0,1480.0
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,1503.6300312943563,1523.4210774989467,KO/TKO,1,Asbel Cancio,1500.0,1480.2089537954096
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,1563.3409855321615,1580.8549719889934,SUB,1,Joe Charles,1519.9300021886083,1502.4160157317765
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1502.642052410717,1522.48996657989,SUB,1,David Abbott,1500.0,1480.152085830827
UFC 6: Clash of the Titans,1995-07-14,Ken Shamrock,1547.9926544785203,1569.8787403382144,SUB,1,Dan Severn,1580.8549719889934,1558.9688861292993
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1522.48996657989,1540.0823384911105,SUB,1,Anthony Macias,1480.461370573347,1462.8689986621266
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1480.152085830827,1501.2933823498386,KO/TKO,1,Paul Varelans,1500.0,1478.8587034809884
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,1540.0823384911105,1559.1239737423548,SUB,1,Dave Beneteau,1523.4210774989467,1504.3794422477024
UFC 6: Clash of the Titans,1995-07-14,Patrick Smith,1525.948354711903,1544.4574184129096,SUB,1,Rudyard Moncayo,1500.0,1481.4909362989933
UFC 6: Clash of the Titans,1995-07-14,Paul Varelans,1478.8587034809884,1500.0741945203238,KO/TKO,1,Cal Worsham,1500.0,1478.7845089606647
UFC 6: Clash of the Titans,1995-07-14,David Abbott,1501.2933823498386,1521.2189296208069,KO/TKO,1,John Matua,1500.0,1480.0744527290317
UFC 6: Clash of the Titans,1995-07-14,Anthony Macias,1462.8689986621266,1484.998330332319,KO/TKO,1,He-Man Gipson,1500.0,1477.8706683298076
UFC 6: Clash of the Titans,1995-07-14,Joel Sutton,1500.0,1520.0,KO/TKO,1,Jack McGlaughlin,1500.0,1480.0
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1500.0,1520.004270979847,KO/TKO,1,Paul Varelans,1500.0741945203238,1480.0699235404768
UFC 7: The Brawl in Buffalo,1995-09-08,Ken Shamrock,1569.8787403382144,1569.259843868797,Other,2,Oleg Taktarov,1559.1239737423548,1559.7428702117722
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,1520.004270979847,1540.2787114774724,SUB,1,Remco Pardoel,1524.7720899945734,1504.497649496948
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,1480.0699235404768,1501.2159342358293,SUB,1,Mark Hall,1500.0,1478.8539893046475
