,Event,Date
0,UFC 313: Pereira vs. Ankalaev,"Mar 8, 2025"
1,UFC Fight Night: Kape vs. Almabayev,"Mar 1, 2025"
2,UFC Fight Night: Cejudo vs. Song,"Feb 22, 2025"
3,UFC Fight Night: Cannonier vs. Rodrigues,"Feb 15, 2025"
4,UFC 312: du Plessis vs. Strickland 2,"Feb 8, 2025"
5,UFC Fight Night: Adesanya vs. Imavov,"Feb 1, 2025"
6,UFC 311: Makhachev vs. Moicano,"Jan 18, 2025"
7,UFC Fight Night: Dern vs. Ribas 2,"Jan 11, 2025"
8,UFC on ESPN: Covington vs. Buckley,"Dec 14, 2024"
9,UFC 310: Pantoja vs. Asakura,"Dec 7, 2024"
10,UFC Fight Night: Yan vs. Figueiredo,"Nov 23, 2024"
11,UFC 309: Jones vs. Miocic,"Nov 16, 2024"
12,UFC Fight Night: Magny vs. Prates,"Nov 9, 2024"
13,UFC Fight Night: Moreno vs. Albazi,"Nov 2, 2024"
14,UFC 308: Topuria vs. Holloway,"Oct 26, 2024"
15,UFC Fight Night: Hernandez vs. Pereira,"Oct 19, 2024"
16,UFC Fight Night: Royval vs. Taira,"Oct 12, 2024"
17,UFC 307: Pereira vs. Rountree Jr.,"Oct 5, 2024"
18,UFC Fight Night: Moicano vs. Saint Denis,"Sep 28, 2024"
19,UFC 306: O'Malley vs. Dvalishvili,"Sep 14, 2024"
20,UFC Fight Night: Burns vs. Brady,"Sep 7, 2024"
21,UFC on ESPN: Cannonier vs. Borralho,"Aug 24, 2024"
22,UFC 305: du Plessis vs. Adesanya,"Aug 18, 2024"
23,UFC on ESPN: Tybura vs. Spivac 2,"Aug 10, 2024"
24,UFC on ABC: Sandhagen vs. Nurmagomedov,"Aug 3, 2024"
25,UFC 304: Edwards vs. Muhammad 2,"Jul 27, 2024"
26,UFC on ESPN: Lemos vs. Jandiroba,"Jul 20, 2024"
27,UFC on ESPN: Namajunas vs. Cortez,"Jul 13, 2024"
28,UFC 303: Pereira vs. Procházka 2,"Jun 29, 2024"
29,UFC on ABC: Whittaker vs. Aliskerov,"Jun 22, 2024"
30,UFC on ESPN: Perez vs. Taira,"Jun 15, 2024"
31,UFC on ESPN: Cannonier vs. Imavov,"Jun 8, 2024"
32,UFC 302: Makhachev vs. Poirier,"Jun 1, 2024"
33,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024"
34,UFC on ESPN: Lewis vs. Nascimento,"May 11, 2024"
35,UFC 301: Pantoja vs. Erceg,"May 4, 2024"
36,UFC on ESPN: Nicolau vs. Perez,"Apr 27, 2024"
37,UFC 300: Pereira vs. Hill,"Apr 13, 2024"
38,UFC Fight Night: Allen vs. Curtis 2,"Apr 6, 2024"
39,UFC on ESPN: Blanchfield vs. Fiorot,"Mar 30, 2024"
40,UFC on ESPN: Ribas vs. Namajunas,"Mar 23, 2024"
41,UFC Fight Night: Tuivasa vs. Tybura,"Mar 16, 2024"
42,UFC 299: O'Malley vs. Vera 2,"Mar 9, 2024"
43,UFC Fight Night: Rozenstruik vs. Gaziev,"Mar 2, 2024"
44,UFC Fight Night: Moreno vs. Royval 2,"Feb 24, 2024"
45,UFC 298: Volkanovski vs. Topuria,"Feb 17, 2024"
46,UFC Fight Night: Hermansson vs. Pyfer,"Feb 10, 2024"
47,UFC Fight Night: Dolidze vs. Imavov,"Feb 3, 2024"
48,UFC 297: Strickland vs. du Plessis,"Jan 20, 2024"
49,UFC Fight Night: Ankalaev vs. Walker 2,"Jan 13, 2024"
50,UFC 296: Edwards vs. Covington,"Dec 16, 2023"
51,UFC Fight Night: Song vs. Gutiérrez,"Dec 9, 2023"
52,UFC on ESPN: Dariush vs. Tsarukyan,"Dec 2, 2023"
53,UFC Fight Night: Allen vs. Craig,"Nov 18, 2023"
54,UFC 295: Procházka vs. Pereira,"Nov 11, 2023"
55,UFC Fight Night: Almeida vs. Lewis,"Nov 4, 2023"
56,UFC 294: Makhachev vs. Volkanovski 2,"Oct 21, 2023"
57,UFC Fight Night: Yusuff vs. Barboza,"Oct 14, 2023"
58,UFC Fight Night: Dawson vs. Green,"Oct 7, 2023"
59,UFC Fight Night: Fiziev vs. Gamrot,"Sep 23, 2023"
60,UFC Fight Night: Grasso vs. Shevchenko 2,"Sep 16, 2023"
61,UFC 293: Adesanya vs. Strickland,"Sep 10, 2023"
62,UFC Fight Night: Gane vs. Spivac,"Sep 2, 2023"
63,UFC Fight Night: Holloway vs. The Korean Zombie,"Aug 26, 2023"
64,UFC 292: Sterling vs. O'Malley,"Aug 19, 2023"
65,UFC on ESPN: Luque vs. dos Anjos,"Aug 12, 2023"
66,UFC on ESPN: Sandhagen vs. Font,"Aug 5, 2023"
67,UFC 291: Poirier vs. Gaethje 2,"Jul 29, 2023"
68,UFC Fight Night: Aspinall vs. Tybura,"Jul 22, 2023"
69,UFC on ESPN: Holm vs. Bueno Silva,"Jul 15, 2023"
70,UFC 290: Volkanovski vs. Rodríguez,"Jul 8, 2023"
71,UFC on ESPN: Strickland vs. Magomedov,"Jul 1, 2023"
72,UFC on ABC: Emmett vs. Topuria,"Jun 24, 2023"
73,UFC on ESPN: Vettori vs. Cannonier,"Jun 17, 2023"
74,UFC 289: Nunes vs. Aldana,"Jun 10, 2023"
75,UFC on ESPN: Kara-France vs. Albazi,"Jun 3, 2023"
76,UFC Fight Night: Dern vs. Hill,"May 20, 2023"
77,UFC on ABC: Rozenstruik vs. Almeida,"May 13, 2023"
78,UFC 288: Sterling vs. Cejudo,"May 6, 2023"
79,UFC on ESPN: Song vs. Simón,"Apr 29, 2023"
80,UFC Fight Night: Pavlovich vs. Blaydes,"Apr 22, 2023"
81,UFC on ESPN: Holloway vs. Allen,"Apr 15, 2023"
82,UFC 287: Pereira vs. Adesanya 2,"Apr 8, 2023"
83,UFC on ESPN: Vera vs. Sandhagen,"Mar 25, 2023"
84,UFC 286: Edwards vs. Usman 3,"Mar 18, 2023"
85,UFC Fight Night: Yan vs. Dvalishvili,"Mar 11, 2023"
86,UFC 285: Jones vs. Gane,"Mar 4, 2023"
87,UFC Fight Night: Muniz vs. Allen,"Feb 25, 2023"
88,UFC Fight Night: Andrade vs. Blanchfield,"Feb 18, 2023"
89,UFC 284: Makhachev vs. Volkanovski,"Feb 12, 2023"
90,UFC Fight Night: Lewis vs. Spivac,"Feb 4, 2023"
91,UFC 283: Teixeira vs. Hill,"Jan 21, 2023"
92,UFC Fight Night: Strickland vs. Imavov,"Jan 14, 2023"
93,UFC Fight Night: Cannonier vs. Strickland,"Dec 17, 2022"
94,UFC 282: Błachowicz vs. Ankalaev,"Dec 10, 2022"
95,UFC on ESPN: Thompson vs. Holland,"Dec 3, 2022"
96,UFC Fight Night: Nzechukwu vs. Cuțelaba,"Nov 19, 2022"
97,UFC 281: Adesanya vs. Pereira,"Nov 12, 2022"
98,UFC Fight Night: Rodriguez vs. Lemos,"Nov 5, 2022"
99,UFC Fight Night: Kattar vs. Allen,"Oct 29, 2022"
100,UFC 280: Oliveira vs. Makhachev,"Oct 22, 2022"
101,UFC Fight Night: Grasso vs. Araújo,"Oct 15, 2022"
102,UFC Fight Night: Dern vs. Yan,"Oct 1, 2022"
103,UFC Fight Night: Sandhagen vs. Song,"Sep 17, 2022"
104,UFC 279: Diaz vs. Ferguson,"Sep 10, 2022"
105,UFC Fight Night: Gane vs. Tuivasa,"Sep 3, 2022"
106,UFC 278: Usman vs. Edwards 2,"Aug 20, 2022"
107,UFC on ESPN: Vera vs. Cruz,"Aug 13, 2022"
108,UFC on ESPN: Santos vs. Hill,"Aug 6, 2022"
109,UFC 277: Peña vs. Nunes 2,"Jul 30, 2022"
110,UFC Fight Night: Blaydes vs. Aspinall,"Jul 23, 2022"
111,UFC on ABC: Ortega vs. Rodríguez,"Jul 16, 2022"
112,UFC on ESPN: dos Anjos vs. Fiziev,"Jul 9, 2022"
113,UFC 276: Adesanya vs. Cannonier,"Jul 2, 2022"
114,UFC on ESPN: Tsarukyan vs. Gamrot,"Jun 25, 2022"
115,UFC on ESPN: Kattar vs. Emmett,"Jun 18, 2022"
116,UFC 275: Teixeira vs. Procházka,"Jun 12, 2022"
117,UFC Fight Night: Volkov vs. Rozenstruik,"Jun 4, 2022"
118,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
119,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
120,UFC 274: Oliveira vs. Gaethje,"May 7, 2022"
121,UFC on ESPN: Font vs. Vera,"Apr 30, 2022"
122,UFC Fight Night: Lemos vs. Andrade,"Apr 23, 2022"
123,UFC on ESPN: Luque vs. Muhammad 2,"Apr 16, 2022"
124,UFC 273: Volkanovski vs. The Korean Zombie,"Apr 9, 2022"
125,UFC on ESPN: Blaydes vs. Daukaus,"Mar 26, 2022"
126,UFC Fight Night: Volkov vs. Aspinall,"Mar 19, 2022"
127,UFC Fight Night: Santos vs. Ankalaev,"Mar 12, 2022"
128,UFC 272: Covington vs. Masvidal,"Mar 5, 2022"
129,UFC Fight Night: Makhachev vs. Green,"Feb 26, 2022"
130,UFC Fight Night: Walker vs. Hill,"Feb 19, 2022"
131,UFC 271: Adesanya vs. Whittaker 2,"Feb 12, 2022"
132,UFC Fight Night: Hermansson vs. Strickland,"Feb 5, 2022"
133,UFC 270: Ngannou vs. Gane,"Jan 22, 2022"
134,UFC on ESPN: Kattar vs. Chikadze,"Jan 15, 2022"
135,UFC Fight Night: Lewis vs. Daukaus,"Dec 18, 2021"
136,UFC 269: Oliveira vs. Poirier,"Dec 11, 2021"
137,UFC on ESPN: Font vs. Aldo,"Dec 4, 2021"
138,UFC Fight Night: Vieira vs. Tate,"Nov 20, 2021"
